Age_at_enrollment,Previous_qualification_grade,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_2nd_sem_approved,Actual,Predicted
21,127.0,126.3,1,0,1,1,1,0,0.0,0.0,0,0,0,0
19,121.0,123.8,0,0,0,1,0,1,12.4,11.0,5,3,1,2
32,133.1,116.3,0,0,0,0,1,0,0.0,0.0,0,0,0,0
37,138.0,127.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
21,122.0,116.8,1,0,0,1,0,0,11.5,12.8,4,5,2,2
18,142.0,141.0,1,0,0,1,1,0,13.0,10.0,6,1,1,1
44,133.1,121.0,0,0,1,0,0,0,12.0,12.0,4,4,0,0
37,130.0,130.0,0,0,0,1,1,0,11.733333333333333,11.88888888888889,15,9,2,2
28,140.0,140.0,0,0,0,1,0,0,0.0,0.0,0,0,0,0
19,134.0,129.1,0,0,0,1,0,0,12.0,13.5,3,4,1,2
24,140.0,106.0,1,0,1,0,0,1,12.36,12.0,5,5,0,0
26,133.1,102.5,0,0,0,0,1,0,0.0,0.0,0,0,0,0
27,125.0,100.0,0,0,0,1,1,0,12.22222222222222,12.384615384615383,18,12,2,2
29,132.0,119.1,1,0,1,1,0,0,13.0,0.0,1,0,0,0
20,130.0,129.0,0,0,0,1,0,0,11.75,10.5,4,2,1,0
18,144.0,130.7,1,0,0,1,0,1,14.85,15.61111111111111,7,8,2,2
18,148.0,134.7,1,0,0,1,0,0,17.0,15.5,6,6,2,2
18,150.0,139.4,0,0,0,1,0,0,12.0,13.0,3,4,1,2
19,144.0,125.8,0,0,0,1,0,1,12.471428571428572,12.471428571428572,7,7,2,2
18,125.0,120.1,0,0,0,1,0,1,12.5,13.333333333333334,6,6,2,2
18,160.0,139.7,0,0,0,1,1,0,0.0,0.0,0,0,0,0
20,130.0,130.0,1,0,0,1,0,0,11.25,10.0,4,3,1,1
52,140.0,118.2,0,0,0,1,1,0,11.2,12.8,5,5,2,2
20,123.0,121.3,1,0,0,1,0,0,11.166666666666666,11.5,6,6,1,2
23,145.0,130.0,1,0,0,1,0,0,0.0,0.0,0,0,0,0
21,108.0,105.9,1,0,0,1,1,0,10.75,11.4,4,5,2,2
20,140.0,132.3,1,0,0,1,0,0,10.0,11.0,1,1,0,1
21,150.0,153.8,1,0,0,1,0,0,14.5,14.0,10,8,2,2
44,120.0,116.0,0,0,0,1,0,0,13.0,13.833333333333334,6,6,2,2
18,137.0,130.4,1,0,1,1,1,0,12.0,10.666666666666666,1,3,0,1
18,141.0,141.4,1,0,0,1,0,1,0.0,0.0,0,0,2,2
18,148.0,133.8,0,0,0,1,0,0,13.485714285714284,13.485714285714284,7,7,2,2
28,133.1,105.3,0,0,1,1,0,0,10.5,0.0,2,0,0,0
20,119.0,113.8,1,0,0,1,0,0,11.333333333333334,12.2,3,5,2,1
18,138.0,131.7,1,0,0,1,1,0,12.833333333333334,13.285714285714286,6,6,2,2
18,164.0,163.0,0,0,0,1,0,0,0.0,0.0,0,0,0,2
27,130.0,130.0,0,0,0,1,1,0,13.166666666666666,15.142857142857142,6,5,0,2
28,133.1,123.0,0,0,1,0,0,1,10.833333333333334,11.0,6,5,0,0
19,121.0,120.3,1,0,1,1,1,1,13.666666666666666,13.333333333333334,6,6,2,2
19,130.0,121.6,0,0,0,1,0,0,14.714285714285714,15.833333333333334,6,6,2,2
21,141.0,100.0,0,0,0,1,0,0,11.5,11.4,4,5,2,2
18,123.0,117.8,1,0,0,1,0,0,13.833333333333334,14.555555555555555,6,6,2,2
30,130.0,123.4,1,0,0,1,1,0,10.0,11.333333333333334,2,3,0,1
26,151.0,151.0,0,0,1,1,0,0,0.0,0.0,0,0,0,0
23,127.0,127.0,1,0,0,1,1,0,10.5,11.7,6,10,2,1
21,128.0,118.6,1,0,0,1,0,1,13.2,11.8,5,5,1,2
21,140.0,140.0,0,0,0,1,1,0,12.333333333333334,13.428571428571429,6,6,2,2
20,108.0,107.3,0,0,0,1,0,0,0.0,0.0,0,0,0,0
18,150.0,143.4,0,0,0,0,1,1,14.2,14.2,5,5,1,1
23,140.0,127.6,1,0,0,1,0,0,13.796666666666669,13.775,6,7,2,2
19,132.0,124.3,1,0,1,1,0,1,11.833333333333334,12.285714285714286,6,6,2,2
18,125.0,120.5,1,0,0,1,1,0,14.0,14.666666666666666,6,6,2,2
25,130.0,129.0,1,0,0,1,0,0,13.5,12.5,6,6,2,2
19,140.0,136.9,1,0,0,1,0,1,13.5,14.428571428571429,6,6,2,2
22,131.0,131.0,0,0,0,1,1,0,13.666666666666666,11.333333333333334,3,3,0,1
19,130.0,122.1,1,0,0,1,0,1,11.678571428571429,13.0375,7,7,2,2
18,128.0,116.5,0,0,0,1,0,1,10.8,10.5,5,6,2,2
18,148.0,141.7,0,0,0,0,1,0,11.6,13.0,5,4,0,1
21,133.1,128.0,0,0,0,1,0,1,11.5,12.333333333333334,6,6,2,2
18,117.0,114.6,0,0,0,1,0,1,12.142857142857142,13.333333333333334,6,6,2,2
19,132.0,120.5,0,0,0,1,1,0,12.5,13.25,4,4,1,2
23,140.0,144.9,1,0,1,0,0,0,13.166666666666666,13.333333333333334,11,8,1,0
20,131.0,137.0,0,0,0,1,0,1,11.166666666666666,10.6,6,5,2,1
18,137.0,127.6,1,0,0,1,0,0,13.528571428571428,14.655555555555557,7,8,2,2
28,130.0,130.0,0,0,0,0,0,0,12.0,0.0,1,0,0,0
20,133.1,111.5,0,0,0,0,0,1,12.0,10.0,4,3,0,0
18,125.0,115.9,0,0,0,1,0,0,13.557142857142855,13.2,7,8,2,2
20,140.0,140.0,0,0,1,1,1,0,0.0,0.0,0,0,2,0
18,111.0,111.0,1,0,0,1,1,0,11.6,14.2,4,3,0,0
18,147.0,142.0,1,0,0,1,0,0,14.65,14.65,6,6,2,2
19,137.0,129.3,1,0,0,1,0,0,12.071428571428571,12.071428571428571,7,7,2,2
22,134.0,134.0,1,0,0,1,0,0,14.2,12.2,5,5,2,2
18,143.0,146.2,1,0,0,1,1,0,13.2,11.8,5,5,2,2
37,140.0,148.0,0,0,0,1,0,0,13.727272727272728,14.75,11,8,2,2
21,126.0,118.7,1,0,0,1,0,1,13.571428571428571,12.5,6,6,2,2
20,111.0,105.4,0,0,0,1,0,0,13.333333333333334,13.2,5,5,2,2
20,149.0,158.1,1,0,0,1,1,1,0.0,0.0,0,0,2,2
25,150.0,150.0,0,0,0,1,1,0,12.428571428571429,10.857142857142858,14,6,0,2
25,115.0,134.3,1,0,0,1,1,0,11.61111111111111,12.055555555555555,17,17,2,2
18,126.0,119.0,0,0,0,1,0,1,12.166666666666666,12.142857142857142,6,6,2,2
60,150.0,140.0,0,0,0,1,1,0,14.11111111111111,14.23076923076923,18,13,2,2
19,126.0,115.2,0,0,0,1,1,0,12.6,11.8,5,5,2,2
20,124.0,126.8,1,0,0,1,0,0,12.333333333333334,12.2,5,5,2,2
39,133.1,100.7,0,0,0,1,0,0,13.0,13.0,2,3,1,0
31,120.0,120.0,1,0,0,1,0,0,13.818181818181818,13.461538461538462,11,12,2,2
28,120.0,118.0,0,0,0,1,0,0,12.857142857142858,12.6,6,5,2,2
35,120.0,128.2,0,0,0,1,1,0,0.0,10.0,0,1,0,0
19,143.0,136.7,0,0,0,1,0,0,12.67,13.55,7,8,2,2
18,146.0,140.0,1,0,0,1,0,0,14.828571428571427,14.828571428571427,7,7,2,2
20,126.0,110.0,0,0,1,1,0,0,13.333333333333334,12.666666666666666,6,6,2,2
18,140.0,124.1,0,0,0,1,0,0,14.5,13.6,5,5,2,2
19,154.0,134.8,1,0,0,1,0,0,13.533333333333331,13.533333333333331,6,6,2,2
45,100.0,111.5,0,0,0,1,1,0,11.5,11.0,4,4,0,0
38,133.1,130.0,0,0,0,1,1,0,0.0,0.0,0,0,0,0
20,152.0,144.7,0,0,0,1,0,0,14.5,15.428571428571429,6,6,2,2
42,133.1,136.1,0,0,0,1,1,1,10.0,11.0,1,1,0,0
22,130.0,130.0,1,0,0,0,1,1,12.545454545454543,12.666666666666666,11,11,2,2
18,131.0,128.2,1,0,0,1,1,0,14.0,13.666666666666666,6,6,2,2
33,100.0,130.0,0,0,0,1,1,1,10.0,10.0,1,1,1,0
18,145.0,146.8,0,0,0,1,0,0,13.166666666666666,13.333333333333334,6,6,2,2
27,170.0,150.8,1,0,0,1,0,0,11.0,11.0,2,1,0,0
35,110.0,119.0,0,0,0,1,1,1,10.5,12.6,4,5,2,2
33,140.0,107.8,0,0,0,1,0,0,10.375,10.444444444444445,8,9,1,1
32,120.0,133.2,1,0,0,1,1,0,0.0,0.0,0,0,0,0
19,136.0,133.2,1,0,0,1,0,0,11.0,11.4,5,5,2,2
18,160.0,155.5,1,0,0,1,0,0,14.0,15.0,6,6,2,2
18,142.0,132.9,1,0,0,1,1,0,14.2,12.4,5,6,0,2
27,140.0,130.0,0,0,0,1,1,0,14.166666666666666,13.833333333333334,6,6,2,2
19,137.0,138.4,0,0,0,1,1,0,15.125,13.428571428571429,6,6,2,2
23,140.0,143.3,1,0,0,0,0,0,13.666666666666666,13.5,9,6,1,2
20,123.0,115.3,1,0,0,1,0,0,13.5,14.0,6,6,1,2
29,120.0,120.0,1,0,0,1,0,0,12.25,12.25,6,6,0,2
19,124.0,116.0,0,0,0,1,1,0,15.5,14.1,6,6,2,2
21,123.0,132.1,0,0,0,1,0,1,11.0,12.0,5,5,2,2
21,142.0,134.3,0,1,0,1,1,0,0.0,0.0,0,0,0,0
20,121.0,111.9,1,0,0,1,1,1,11.333333333333334,10.571428571428571,6,4,1,2
19,138.0,123.0,1,0,0,1,0,0,10.8,11.333333333333334,5,5,2,2
19,135.0,132.6,1,0,0,1,0,1,13.6,14.6,5,5,2,2
18,139.0,152.0,0,0,0,1,0,1,14.6,12.0,5,5,2,2
25,133.1,134.3,0,0,0,1,1,0,11.0,11.75,1,4,0,0
20,137.0,121.3,1,0,0,1,0,0,12.6,12.6,6,6,2,2
18,133.0,120.1,1,0,0,1,0,0,12.75,11.75,4,4,2,2
19,130.0,121.3,1,0,0,1,0,0,14.166666666666666,12.2,6,6,2,2
40,110.0,100.0,0,0,0,1,1,0,16.0,15.5,1,4,2,0
21,102.0,101.7,1,0,0,1,1,1,13.5,12.333333333333334,6,6,2,2
22,108.0,110.5,1,0,0,1,0,1,12.166666666666666,12.5,6,6,2,2
26,130.0,121.5,0,0,0,0,1,0,10.5,0.0,2,0,0,0
19,134.0,131.2,0,0,0,1,0,0,11.0,11.2,1,5,1,1
19,130.0,130.4,1,0,0,1,0,1,13.894285714285711,14.3625,7,8,2,2
30,130.0,103.4,0,0,0,1,0,0,11.75,11.142857142857142,7,7,0,2
18,162.0,147.5,1,0,0,1,0,1,14.14125,14.14125,8,8,2,2
19,120.0,113.7,1,0,1,0,0,0,12.2,0.0,5,0,0,0
19,135.0,126.6,0,0,0,1,0,1,12.901428571428571,13.094444444444443,7,8,2,2
18,123.0,113.8,1,0,0,1,0,0,11.155555555555557,11.425,7,8,2,2
34,130.0,131.4,0,0,0,1,1,0,12.4,13.428571428571429,5,5,2,2
18,116.0,116.4,1,0,0,1,0,0,13.166666666666666,13.166666666666666,6,6,2,2
22,160.0,160.0,0,0,0,1,1,1,13.125,13.0,6,6,2,2
21,130.0,123.4,1,0,0,1,0,0,11.75,13.333333333333334,4,3,2,1
30,130.0,160.0,0,0,0,1,0,0,14.6,15.4,5,5,0,2
22,115.0,109.1,1,0,1,0,0,1,0.0,0.0,0,0,0,0
22,142.0,137.3,1,0,0,1,0,1,13.9,13.9,6,6,2,2
20,147.0,141.1,1,0,0,1,0,0,13.0,14.2125,6,8,0,2
19,114.0,112.6,1,0,0,1,0,0,11.85,13.65,6,7,2,2
18,134.0,124.9,1,0,1,1,1,0,10.666666666666666,11.333333333333334,3,3,1,0
18,138.0,142.2,1,0,0,1,0,0,13.8,12.6,5,5,2,2
43,133.1,132.0,0,0,0,1,1,0,11.75,0.0,4,0,0,0
20,123.0,134.0,0,0,0,1,0,1,13.666666666666666,13.333333333333334,6,6,2,2
19,137.0,137.0,0,0,1,1,0,0,0.0,11.666666666666666,0,2,1,1
20,120.0,120.0,1,0,0,1,0,0,0.0,0.0,0,0,0,0
21,135.0,135.4,1,0,0,1,1,0,12.565,12.16,6,5,1,2
20,117.0,127.9,1,0,0,1,1,0,0.0,0.0,0,0,0,0
19,122.0,124.8,1,0,0,0,1,0,0.0,0.0,0,0,0,0
18,127.0,120.0,0,0,0,1,0,0,0.0,0.0,0,0,0,0
27,130.0,130.0,1,0,0,1,0,0,12.8875,12.8875,8,8,2,2
31,133.1,121.7,0,0,0,1,1,0,0.0,0.0,0,0,0,0
28,115.0,115.0,1,0,0,1,0,0,12.8,11.0,5,5,2,1
18,160.0,139.0,1,0,0,1,0,1,12.2,0.0,5,0,0,0
22,121.0,125.9,1,0,0,1,0,0,10.0,13.5,4,2,1,1
18,142.0,130.3,0,0,0,1,0,0,13.683333333333332,13.683333333333332,6,6,2,2
18,116.0,110.1,1,0,0,1,0,0,13.333333333333334,12.0,6,6,2,2
34,130.0,128.2,0,0,0,1,0,0,11.0,10.0,3,2,0,0
21,136.0,125.9,0,0,0,1,0,0,12.2,11.8,5,5,2,1
20,133.1,118.0,0,0,0,1,0,1,11.666666666666666,14.0,6,5,2,2
24,133.1,133.0,0,0,0,1,0,0,12.585714285714284,13.44285714285714,6,7,2,2
19,125.0,114.9,0,0,0,1,0,1,11.5,12.2,6,5,2,2
20,111.0,108.2,1,0,0,1,0,0,13.266666666666666,12.3,6,5,0,2
21,100.0,136.0,1,0,0,1,0,0,14.355555555555554,13.49375,7,8,2,2
24,133.1,106.0,1,0,0,1,0,0,10.5,11.0,2,1,1,0
21,129.0,124.8,1,0,0,1,0,0,14.5,12.0,6,5,2,2
20,131.0,125.4,1,0,0,1,0,0,15.692307692307692,14.428571428571429,6,5,2,2
31,133.1,96.0,0,0,0,1,1,0,0.0,0.0,0,0,0,0
21,117.0,131.0,1,0,1,0,1,0,14.0,0.0,1,0,0,0
18,140.0,127.8,0,0,0,1,1,0,14.285714285714286,14.857142857142858,6,6,2,2
19,136.0,129.7,0,0,0,1,0,0,12.166666666666666,13.714285714285714,6,6,2,2
21,141.0,130.2,1,0,0,1,0,0,14.072222222222225,14.0475,7,8,2,2
19,133.0,130.2,1,0,0,1,0,0,0.0,0.0,0,0,0,0
22,127.0,126.7,1,0,0,0,1,0,0.0,0.0,0,0,0,0
59,130.0,140.0,0,0,0,0,0,0,13.333333333333334,12.875,12,8,0,0
29,121.0,141.4,0,0,1,0,1,0,11.25,11.8,4,4,0,0
20,123.0,120.2,1,0,0,1,0,0,11.8,11.5,5,4,0,2
19,127.0,115.8,1,0,0,1,1,0,12.0,10.0,3,2,0,0
19,133.1,107.0,1,0,0,1,0,0,10.6,11.714285714285714,5,6,0,2
18,162.0,154.1,0,0,0,1,0,0,14.45,14.144444444444444,7,8,2,2
19,135.0,134.3,1,0,0,1,0,0,14.2,13.8,5,5,1,2
19,118.0,112.4,1,0,0,1,0,0,15.307692307692308,13.875,6,6,2,2
49,133.1,128.0,0,0,0,1,1,0,14.0,13.666666666666666,3,3,0,0
27,133.1,148.2,1,0,1,1,0,0,12.125,12.0,6,5,1,0
21,118.0,115.2,1,0,0,1,0,1,12.333333333333334,12.5,3,2,0,1
18,122.0,116.4,1,0,1,1,0,1,11.6,11.8,5,5,2,2
19,145.0,145.0,0,0,0,1,0,1,12.833333333333334,13.166666666666666,6,6,2,2
36,133.1,110.0,0,0,0,1,0,0,11.5,12.333333333333334,4,3,0,0
20,123.0,127.2,0,0,1,0,1,0,11.333333333333334,11.5,3,2,0,0
37,130.0,118.1,0,0,1,0,0,0,0.0,0.0,0,0,0,0
18,109.0,137.0,1,0,0,1,0,1,12.666666666666666,12.8,6,5,2,2
30,133.1,101.6,0,0,0,1,1,1,0.0,0.0,0,0,0,0
32,133.1,140.0,1,0,1,0,0,0,0.0,0.0,0,0,0,0
27,120.0,113.8,0,0,0,0,1,0,0.0,0.0,0,0,0,0
21,121.0,116.8,1,0,0,1,0,0,11.333333333333334,12.25,6,4,2,2
18,130.0,125.1,1,0,0,1,0,0,13.78,13.661,7,8,2,2
23,138.0,123.0,1,0,0,1,0,0,12.8,11.666666666666666,5,3,0,1
35,100.0,100.0,0,0,0,1,0,0,11.4,12.333333333333334,5,3,1,1
19,131.0,127.0,0,0,0,1,1,1,12.514285714285714,12.514285714285714,7,7,2,2
21,135.0,135.0,0,0,1,1,1,0,12.333333333333334,11.25,3,4,1,0
20,117.0,113.2,1,0,1,1,0,0,10.666666666666666,11.857142857142858,6,6,2,2
24,150.0,144.6,0,0,1,0,0,0,13.0,0.0,1,0,0,0
28,147.0,147.9,0,0,0,1,0,0,11.5,12.0,4,4,1,1
26,150.0,127.0,1,0,0,1,1,0,13.046666666666669,13.30625,6,7,0,2
38,150.0,150.0,1,0,1,0,0,0,0.0,0.0,0,0,0,0
18,143.0,126.9,1,0,0,1,0,0,11.0,11.666666666666666,5,6,2,2
19,133.0,130.2,1,0,0,1,1,1,13.7,14.022222222222222,7,8,2,2
20,131.0,118.4,1,0,0,1,0,1,13.766666666666666,13.744444444444444,6,8,0,2
20,150.0,150.0,1,0,0,1,1,0,13.8,13.142857142857142,6,6,2,2
18,137.0,130.8,1,0,0,1,0,1,12.666666666666666,12.666666666666666,6,6,2,2
21,125.0,125.0,1,0,0,1,0,0,12.0,11.25,9,8,2,2
22,133.1,100.0,1,0,0,1,1,0,11.25,11.0,4,3,1,1
29,133.1,96.7,0,0,0,1,1,1,0.0,0.0,0,0,0,0
18,131.0,126.1,0,0,0,1,0,0,0.0,13.25,0,4,1,1
19,116.0,110.8,1,0,0,1,1,0,0.0,0.0,0,0,0,0
27,160.0,107.8,1,0,0,0,1,0,0.0,0.0,0,0,0,0
22,133.1,138.0,0,0,1,1,1,0,12.625,14.5,6,2,1,0
24,130.0,140.0,1,0,0,1,0,0,14.985714285714286,14.985714285714286,7,7,2,2
25,140.0,135.8,1,0,0,1,1,0,10.8,11.357142857142858,15,14,2,0
18,126.0,132.0,1,0,0,1,0,1,15.0,11.666666666666666,3,3,0,1
24,130.0,126.9,0,0,1,1,0,0,13.285714285714286,12.875,6,6,2,2
21,121.0,123.1,1,0,0,1,1,0,11.166666666666666,14.666666666666666,6,3,1,1
35,140.0,129.7,0,0,0,1,0,0,12.0,12.857142857142858,5,5,2,2
19,126.0,129.9,1,0,0,1,1,1,13.666666666666666,13.2,6,5,2,2
34,120.0,170.0,0,0,0,1,0,0,11.5,11.75,2,4,1,0
26,133.1,101.0,1,0,0,1,0,0,12.666666666666666,11.0,3,2,0,0
19,125.0,118.0,1,0,0,1,0,1,12.25,12.333333333333334,4,3,2,1
18,133.0,128.5,1,0,0,1,0,1,11.0,10.333333333333334,2,3,0,1
18,124.0,126.8,0,0,0,1,0,1,12.0,11.142857142857142,6,5,1,2
25,133.1,115.0,1,0,1,0,1,0,13.0,13.75,4,4,0,0
19,118.0,118.4,1,0,0,1,1,0,10.5,11.75,2,4,1,1
18,148.0,133.0,0,0,0,1,1,0,13.285714285714286,14.8,5,5,0,2
18,125.0,130.6,1,0,0,1,0,1,13.5,14.0,6,6,2,2
30,160.0,120.0,0,0,0,1,0,0,14.142857142857142,14.8,7,5,2,2
36,120.0,149.0,0,0,0,0,1,0,11.5,0.0,2,0,0,0
18,140.0,130.0,1,0,0,1,1,1,13.183333333333332,13.183333333333332,6,6,2,2
18,131.0,131.7,1,0,0,0,0,0,0.0,0.0,0,0,0,0
19,137.0,124.9,0,0,0,1,0,1,13.8875,14.864444444444445,6,8,2,2
19,145.0,129.6,0,0,0,1,0,1,11.333333333333334,12.428571428571429,6,6,2,2
25,133.1,103.0,0,0,0,1,1,0,0.0,0.0,0,0,0,0
18,139.0,130.6,0,0,0,1,0,0,12.8,11.857142857142858,5,5,2,2
41,100.0,110.0,0,0,0,1,0,0,11.833333333333334,12.7,12,9,2,2
24,151.0,138.4,1,0,0,1,0,1,13.666666666666666,12.833333333333334,6,6,2,2
20,160.0,160.0,1,0,0,1,1,0,14.0,14.666666666666666,6,6,2,2
28,133.1,120.0,0,0,0,1,1,0,10.285714285714286,10.6,7,5,0,1
33,133.1,118.0,0,0,0,0,1,0,0.0,0.0,0,0,0,0
18,130.0,124.1,1,0,0,1,0,0,14.166666666666666,13.428571428571429,6,6,1,2
22,140.0,142.5,1,0,0,1,0,1,13.5,13.714285714285714,8,7,2,2
20,125.0,131.7,1,0,0,1,1,0,12.75,12.666666666666666,4,3,0,1
19,134.0,141.4,1,0,0,1,0,0,13.0,14.0,3,2,0,0
18,140.0,131.6,1,0,0,1,0,0,13.135,13.244444444444444,7,8,2,2
22,125.0,126.1,1,0,0,1,1,0,13.4,10.666666666666666,5,3,1,1
28,133.1,128.2,0,0,0,1,1,0,12.0,11.333333333333334,3,3,0,0
21,140.0,140.0,0,0,0,1,1,0,11.75,10.5,4,4,1,1
22,127.0,138.8,1,0,0,1,0,0,14.153846153846152,15.428571428571429,11,12,2,2
18,130.0,133.9,1,0,0,1,0,0,12.2,11.25,5,4,2,1
21,130.0,121.3,1,0,0,1,0,0,13.0,12.0,2,4,1,1
